"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15","Получение файла по id","LMS servise","Mon Sep 15 07:54:11 UTC 2025","passed","Mon Sep 15 07:54:11 UTC 2025","Get entity","Files","",""
"","548","Логирование пользователя","LMS servise","Mon Sep 15 07:54:05 UTC 2025","passed","Mon Sep 15 07:54:05 UTC 2025","Login","Authentication","",""
"","14","Получение текущего пользователя","LMS servise","Mon Sep 15 07:54:14 UTC 2025","passed","Mon Sep 15 07:54:14 UTC 2025","Get entity","Users","",""
"","0","Получение курса по id","LMS servise","Mon Sep 15 07:54:04 UTC 2025","broken","Mon Sep 15 07:54:04 UTC 2025","Get entities","Courses","",""
"","0","Создание упражнения","LMS servise","Mon Sep 15 07:54:06 UTC 2025","broken","Mon Sep 15 07:54:06 UTC 2025","Create entity","Exercises","",""
"","290","Получение файла по неккоректному id","LMS servise","Mon Sep 15 07:54:13 UTC 2025","passed","Mon Sep 15 07:54:13 UTC 2025","Validate entity","Files","",""
"","25","Создание файла с пустым filename","LMS servise","Mon Sep 15 07:54:11 UTC 2025","passed","Mon Sep 15 07:54:11 UTC 2025","Validate entity","Files","",""
"","0","Получение упражнения по id","LMS servise","Mon Sep 15 07:54:08 UTC 2025","broken","Mon Sep 15 07:54:08 UTC 2025","Get entity","Exercises","",""
"","569","Создание пользователя","LMS servise","Mon Sep 15 07:54:13 UTC 2025","passed","Mon Sep 15 07:54:13 UTC 2025","Create entity","Users","",""
"","0","Обновление курса","LMS servise","Mon Sep 15 07:54:05 UTC 2025","broken","Mon Sep 15 07:54:05 UTC 2025","Update entity","Courses","",""
"","553","Создание пользователя","LMS servise","Mon Sep 15 07:54:13 UTC 2025","passed","Mon Sep 15 07:54:14 UTC 2025","Create entity","Users","",""
"","23","Создание файла","LMS servise","Mon Sep 15 07:54:10 UTC 2025","passed","Mon Sep 15 07:54:10 UTC 2025","Create entity","Files","",""
"","0","Обновление упражнения","LMS servise","Mon Sep 15 07:54:08 UTC 2025","broken","Mon Sep 15 07:54:08 UTC 2025","Update entity","Exercises","",""
"","7","Создание курса","LMS servise","Mon Sep 15 07:54:06 UTC 2025","broken","Mon Sep 15 07:54:06 UTC 2025","Create entity","Courses","",""
"","257","Создание файла с пустым directory","LMS servise","Mon Sep 15 07:54:12 UTC 2025","passed","Mon Sep 15 07:54:12 UTC 2025","Validate entity","Files","",""
"","0","Удаление упражнения","LMS servise","Mon Sep 15 07:54:09 UTC 2025","broken","Mon Sep 15 07:54:09 UTC 2025","Delete entity","Exercises","",""
"","297","Удаление файла","LMS servise","Mon Sep 15 07:54:12 UTC 2025","passed","Mon Sep 15 07:54:13 UTC 2025","Delete entity","Files","",""
"","0","Получение списка упражнений","LMS servise","Mon Sep 15 07:54:06 UTC 2025","broken","Mon Sep 15 07:54:06 UTC 2025","Get entities","Exercises","",""
"","289","Создание пользователя","LMS servise","Mon Sep 15 07:54:13 UTC 2025","passed","Mon Sep 15 07:54:13 UTC 2025","Create entity","Users","",""
